iter	Passed	Remaining
711	1085	439
712	1086	437
713	1087	435
714	1088	433
715	1089	432
716	1090	430
717	1091	428
718	1093	427
719	1095	425
720	1096	424
721	1097	422
722	1098	420
723	1099	419
724	1100	417
725	1101	415
726	1101	413
727	1102	412
728	1103	410
729	1104	408
730	1105	406
731	1106	404
732	1108	403
733	1109	402
734	1111	400
735	1112	399
736	1113	397
737	1114	395
738	1115	393
739	1116	392
740	1117	390
741	1117	388
742	1118	386
743	1119	385
744	1120	383
745	1122	382
746	1126	381
747	1135	382
748	1141	382
749	1144	381
750	1147	380
751	1150	379
752	1154	378
753	1156	377
754	1158	375
755	1159	374
756	1161	372
757	1162	371
758	1163	369
759	1164	367
760	1165	366
761	1167	364
762	1168	362
763	1169	361
764	1170	359
765	1171	357
766	1172	356
767	1173	354
768	1174	352
769	1175	351
770	1176	349
771	1177	347
772	1178	346
773	1179	344
774	1180	342
775	1181	340
776	1182	339
777	1183	337
778	1184	335
779	1185	334
780	1185	332
781	1186	330
782	1187	329
783	1188	327
784	1189	325
785	1189	323
786	1190	322
787	1191	320
788	1192	318
789	1193	317
790	1194	315
791	1194	313
792	1195	312
793	1197	310
794	1198	308
795	1198	307
796	1199	305
797	1200	303
798	1201	302
799	1202	300
800	1203	299
801	1204	297
802	1205	295
803	1206	294
804	1207	292
805	1208	290
806	1209	289
807	1210	287
808	1211	286
809	1212	284
810	1213	282
811	1214	281
812	1215	279
813	1216	277
814	1217	276
815	1218	274
816	1219	273
817	1220	271
818	1220	269
819	1221	268
820	1222	266
821	1223	264
822	1224	263
823	1225	261
824	1227	260
825	1228	258
826	1229	257
827	1230	255
828	1231	253
829	1232	252
830	1233	250
831	1234	249
832	1235	247
833	1236	246
834	1237	244
835	1238	242
836	1239	241
837	1240	239
838	1241	238
839	1242	236
840	1243	235
841	1244	233
842	1244	231
843	1245	230
844	1246	228
845	1247	227
846	1248	225
847	1249	223
848	1250	222
849	1251	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1256	213
855	1256	211
856	1257	209
857	1258	208
858	1259	206
859	1260	205
860	1261	203
861	1262	202
862	1263	200
863	1263	198
864	1264	197
865	1265	195
866	1266	194
867	1267	192
868	1268	191
869	1269	189
870	1270	188
871	1277	187
872	1283	186
873	1287	185
874	1289	184
875	1291	182
876	1293	181
877	1296	180
878	1299	178
879	1301	177
880	1303	176
881	1305	174
882	1306	173
883	1308	171
884	1309	170
885	1310	168
886	1311	167
887	1312	165
888	1313	164
889	1315	162
890	1316	161
891	1317	159
892	1318	157
893	1319	156
894	1320	154
895	1321	153
896	1322	151
897	1323	150
898	1324	148
899	1324	147
900	1325	145
901	1326	144
902	1327	142
903	1328	141
904	1329	139
905	1330	138
906	1331	136
907	1332	135
908	1333	133
909	1334	131
910	1335	130
911	1335	128
912	1336	127
913	1337	125
914	1338	124
915	1339	122
916	1340	121
917	1341	119
918	1341	118
919	1342	116
920	1343	115
921	1344	113
922	1345	112
923	1346	110
924	1347	109
925	1348	107
926	1349	106
927	1350	104
928	1350	103
929	1351	101
930	1352	100
931	1353	98
932	1354	97
933	1355	95
934	1356	94
935	1356	92
936	1357	91
937	1358	89
938	1361	88
939	1362	86
940	1363	85
941	1364	84
942	1365	82
943	1367	81
944	1368	79
945	1371	78
946	1382	77
947	1385	75
948	1388	74
949	1391	73
950	1394	71
951	1396	70
952	1398	68
953	1401	67
954	1403	66
955	1405	64
956	1407	63
957	1409	61
958	1411	60
959	1412	58
960	1414	57
961	1417	55
962	1418	54
963	1422	53
964	1424	51
965	1425	50
966	1427	48
967	1430	47
968	1432	45
969	1433	44
970	1435	42
971	1437	41
972	1440	39
973	1441	38
974	1442	36
975	1443	35
976	1444	33
977	1447	32
978	1456	31
979	1467	29
980	1469	28
981	1471	26
982	1474	25
983	1476	24
984	1478	22
985	1480	21
986	1481	19
987	1483	18
988	1485	16
989	1486	15
990	1487	13
991	1488	12
992	1489	10
993	1491	9
994	1492	7
995	1493	5
996	1500	4
997	1506	3
998	1509	1
999	1511	0
